0,1,2,3,4,raio,time,7,8,raio,time,11,12,,time,15,16,,time
ret_cvxp_18_15,cvxps_size,7.353367,cutoff-w-sep-10,0.782599169,0.106427323,0.2119775,cutoff-w-sep-16,0.772931056,0.105112536,0.3462946,cutoff-w-sep-22,1.077303951,0.146504853,0.4423185,cutoff-w-sep-28,1.001685501,0.136221339,0.5712434
ret_cvxp_18_2,cvxps_size,4.7827285,cutoff-w-sep-10,0.540103424,0.112927887,0.2492914,cutoff-w-sep-16,0.72751,0.152111917,0.4004354,cutoff-w-sep-22,0.759374938,0.158774419,0.5493317,cutoff-w-sep-28,0.932231314,0.19491621,0.7059602
ret_cvxp_18_21,cvxps_size,12.652868,cutoff-w-sep-10,1.259747721,0.099562227,0.1807293,cutoff-w-sep-16,1.350425576,0.106728812,0.2611128,cutoff-w-sep-22,1.521889156,0.120280173,0.3701142,cutoff-w-sep-28,1.833491239,0.144907166,0.5026732
ret_cvxp_18_22,cvxps_size,13.3687735,cutoff-w-sep-10,1.861544047,0.139245687,0.1960597,cutoff-w-sep-16,2.136955097,0.159846758,0.308646,cutoff-w-sep-22,2.389051721,0.178703882,0.4326881,cutoff-w-sep-28,2.450421305,0.183294399,0.5611023
ret_cvxp_18_23,cvxps_size,11.8949815,cutoff-w-sep-10,1.550584211,0.130356168,0.2726555,cutoff-w-sep-16,2.80175786,0.23554117,0.4327745,cutoff-w-sep-22,2.248319005,0.189014082,0.6105834,cutoff-w-sep-28,2.874959597,0.241695172,0.7801412
ret_cvxp_18_24,cvxps_size,12.8111945,cutoff-w-sep-10,1.359809739,0.106142307,0.217495,cutoff-w-sep-16,1.572259862,0.12272547,0.3528647,cutoff-w-sep-22,1.632384214,0.12741858,0.4937521,cutoff-w-sep-28,1.710884373,0.133546046,0.5928591
ret_cvxp_18_25,cvxps_size,11.4662045,cutoff-w-sep-10,1.305135117,0.113824511,0.2380694,cutoff-w-sep-16,1.828870723,0.159500969,0.3716696,cutoff-w-sep-22,1.755302511,0.153084877,0.4951354,cutoff-w-sep-28,2.099146321,0.183072465,0.6327136
ret_cvxp_18_3,cvxps_size,4.1975075,cutoff-w-sep-10,0.41141682,0.098014553,0.2230344,cutoff-w-sep-16,0.844811035,0.201264926,0.3634637,cutoff-w-sep-22,0.747984915,0.178197398,0.4872195,cutoff-w-sep-28,0.875202632,0.208505317,0.6155439
ret_cvxp_18_4,cvxps_size,4.3894895,cutoff-w-sep-10,0.370677964,0.084446714,0.1693115,cutoff-w-sep-16,0.63891298,0.14555519,0.2742212,cutoff-w-sep-22,0.61908071,0.141037064,0.3731802,cutoff-w-sep-28,0.679433588,0.154786471,0.4770522
ret_cvxp_18_5,cvxps_size,4.529712,cutoff-w-sep-10,0.45308037,0.100024101,0.1849527,cutoff-w-sep-16,0.678745319,0.14984293,0.3064593,cutoff-w-sep-22,0.780564411,0.17232098,0.4233759,cutoff-w-sep-28,0.801278324,0.176893878,0.5281524
ret_cvxp_20_1,cvxps_size,4.9860695,cutoff-w-sep-10,0.447249818,0.089699876,0.2833699,cutoff-w-sep-16,0.408757666,0.081979938,0.4527363,cutoff-w-sep-22,0.558377789,0.111987566,0.6229387,cutoff-w-sep-28,0.557572514,0.111826061,0.7875062
ret_cvxp_20_11,cvxps_size,8.819459,cutoff-w-sep-10,0.929113142,0.105348088,0.2304437,cutoff-w-sep-16,1.096321134,0.124307073,0.3613844,cutoff-w-sep-22,1.203314825,0.136438621,0.5000663,cutoff-w-sep-28,1.573503284,0.178412676,0.6270661
ret_cvxp_20_12,cvxps_size,8.9969115,cutoff-w-sep-10,0.799557184,0.088870184,0.167347,cutoff-w-sep-16,1.246972756,0.138600091,0.2852435,cutoff-w-sep-22,1.215430444,0.135094187,0.3642145,cutoff-w-sep-28,1.223194705,0.135957179,0.5035172
